subsistema_id,subsistema,data_hora,carga_mw_media,hora,dia,mes,dia_semana
S,SUL,2025-01-03 12:00:00,14483.08,12,3,1,Friday
SE,SUDESTE,2025-01-03 12:00:00,46849.311,12,3,1,Friday
N,NORTE,2025-01-03 13:00:00,7692.869,13,3,1,Friday
NE,NORDESTE,2025-01-03 13:00:00,13700.137,13,3,1,Friday
S,SUL,2025-01-03 13:00:00,14871.254,13,3,1,Friday
SE,SUDESTE,2025-01-03 13:00:00,47781.823,13,3,1,Friday
N,NORTE,2025-01-03 14:00:00,8090.651,14,3,1,Friday
NE,NORDESTE,2025-01-03 14:00:00,14116.87499999,14,3,1,Friday
S,SUL,2025-01-03 14:00:00,15203.239,14,3,1,Friday
SE,SUDESTE,2025-01-03 14:00:00,48402.713,14,3,1,Friday
N,NORTE,2025-01-03 15:00:00,7997.735,15,3,1,Friday
NE,NORDESTE,2025-01-03 15:00:00,14394.113,15,3,1,Friday
S,SUL,2025-01-03 15:00:00,15006.121,15,3,1,Friday
SE,SUDESTE,2025-01-03 15:00:00,48272.087,15,3,1,Friday
N,NORTE,2025-01-03 16:00:00,7972.82,16,3,1,Friday
NE,NORDESTE,2025-01-03 16:00:00,14376.896,16,3,1,Friday
S,SUL,2025-01-03 16:00:00,15047.61399999,16,3,1,Friday
SE,SUDESTE,2025-01-03 16:00:00,47699.089,16,3,1,Friday
N,NORTE,2025-01-03 17:00:00,7755.21199999,17,3,1,Friday
NE,NORDESTE,2025-01-03 17:00:00,14252.39499999,17,3,1,Friday
S,SUL,2025-01-03 17:00:00,15096.457,17,3,1,Friday
SE,SUDESTE,2025-01-03 17:00:00,46798.982,17,3,1,Friday
N,NORTE,2025-01-03 18:00:00,7710.41499999,18,3,1,Friday
NE,NORDESTE,2025-01-03 18:00:00,14828.783,18,3,1,Friday
S,SUL,2025-01-03 18:00:00,14711.644,18,3,1,Friday
SE,SUDESTE,2025-01-03 18:00:00,47250.70099999,18,3,1,Friday
N,NORTE,2025-01-03 19:00:00,7982.86099999,19,3,1,Friday
NE,NORDESTE,2025-01-03 19:00:00,14962.435,19,3,1,Friday
S,SUL,2025-01-03 19:00:00,15300.043,19,3,1,Friday
SE,SUDESTE,2025-01-03 19:00:00,49684.159,19,3,1,Friday
N,NORTE,2025-01-03 20:00:00,8114.49,20,3,1,Friday
NE,NORDESTE,2025-01-03 20:00:00,15010.21099999,20,3,1,Friday
S,SUL,2025-01-03 20:00:00,15978.558,20,3,1,Friday
SE,SUDESTE,2025-01-03 20:00:00,49783.461,20,3,1,Friday
N,NORTE,2025-01-03 21:00:00,8239.09499999,21,3,1,Friday
NE,NORDESTE,2025-01-03 21:00:00,15442.14499999,21,3,1,Friday
S,SUL,2025-01-03 21:00:00,15834.915,21,3,1,Friday
SE,SUDESTE,2025-01-03 21:00:00,48784.758,21,3,1,Friday
N,NORTE,2025-01-03 22:00:00,8326.01,22,3,1,Friday
NE,NORDESTE,2025-01-03 22:00:00,15652.398,22,3,1,Friday
S,SUL,2025-01-03 22:00:00,15327.02699999,22,3,1,Friday
SE,SUDESTE,2025-01-03 22:00:00,47141.978,22,3,1,Friday
N,NORTE,2025-01-03 23:00:00,8314.874,23,3,1,Friday
NE,NORDESTE,2025-01-03 23:00:00,15412.81299999,23,3,1,Friday
S,SUL,2025-01-03 23:00:00,14475.605,23,3,1,Friday
SE,SUDESTE,2025-01-03 23:00:00,45122.243,23,3,1,Friday
N,NORTE,2025-01-04 00:00:00,8257.63399999,0,4,1,Saturday
NE,NORDESTE,2025-01-04 00:00:00,14962.38899999,0,4,1,Saturday
S,SUL,2025-01-04 00:00:00,13512.374,0,4,1,Saturday
SE,SUDESTE,2025-01-04 00:00:00,42874.002,0,4,1,Saturday
N,NORTE,2025-01-04 01:00:00,8058.494,1,4,1,Saturday
NE,NORDESTE,2025-01-04 01:00:00,14506.69099999,1,4,1,Saturday
S,SUL,2025-01-04 01:00:00,12680.69999999,1,4,1,Saturday
SE,SUDESTE,2025-01-04 01:00:00,40873.233,1,4,1,Saturday
N,NORTE,2025-01-04 02:00:00,7863.981,2,4,1,Saturday
NE,NORDESTE,2025-01-04 02:00:00,14139.36699999,2,4,1,Saturday
S,SUL,2025-01-04 02:00:00,12121.177,2,4,1,Saturday
SE,SUDESTE,2025-01-04 02:00:00,39452.745,2,4,1,Saturday
N,NORTE,2025-01-04 03:00:00,7764.27399999,3,4,1,Saturday
NE,NORDESTE,2025-01-04 03:00:00,13935.52399999,3,4,1,Saturday
S,SUL,2025-01-04 03:00:00,11729.124,3,4,1,Saturday
SE,SUDESTE,2025-01-04 03:00:00,38522.97,3,4,1,Saturday
N,NORTE,2025-01-04 04:00:00,7675.356,4,4,1,Saturday
NE,NORDESTE,2025-01-04 04:00:00,13672.48099999,4,4,1,Saturday
S,SUL,2025-01-04 04:00:00,11510.461,4,4,1,Saturday
SE,SUDESTE,2025-01-04 04:00:00,38120.683,4,4,1,Saturday
N,NORTE,2025-01-04 05:00:00,7559.72699999,5,4,1,Saturday
NE,NORDESTE,2025-01-04 05:00:00,13017.71199999,5,4,1,Saturday
S,SUL,2025-01-04 05:00:00,11234.0,5,4,1,Saturday
SE,SUDESTE,2025-01-04 05:00:00,37710.441,5,4,1,Saturday
N,NORTE,2025-01-04 06:00:00,7321.566,6,4,1,Saturday
NE,NORDESTE,2025-01-04 06:00:00,12432.218,6,4,1,Saturday
S,SUL,2025-01-04 06:00:00,11531.685,6,4,1,Saturday
SE,SUDESTE,2025-01-04 06:00:00,38120.89799999,6,4,1,Saturday
N,NORTE,2025-01-04 07:00:00,7069.48599999,7,4,1,Saturday
NE,NORDESTE,2025-01-04 07:00:00,12254.433,7,4,1,Saturday
S,SUL,2025-01-04 07:00:00,12099.317,7,4,1,Saturday
SE,SUDESTE,2025-01-04 07:00:00,39762.542,7,4,1,Saturday
N,NORTE,2025-01-04 08:00:00,6705.14699999,8,4,1,Saturday
NE,NORDESTE,2025-01-04 08:00:00,12363.129,8,4,1,Saturday
S,SUL,2025-01-04 08:00:00,12314.869,8,4,1,Saturday
SE,SUDESTE,2025-01-04 08:00:00,41456.07199999,8,4,1,Saturday
N,NORTE,2025-01-04 09:00:00,6851.86,9,4,1,Saturday
NE,NORDESTE,2025-01-04 09:00:00,12550.95499999,9,4,1,Saturday
S,SUL,2025-01-04 09:00:00,12637.322,9,4,1,Saturday
SE,SUDESTE,2025-01-04 09:00:00,42521.105,9,4,1,Saturday
N,NORTE,2025-01-04 10:00:00,6996.20199999,10,4,1,Saturday
NE,NORDESTE,2025-01-04 10:00:00,12659.26199999,10,4,1,Saturday
S,SUL,2025-01-04 10:00:00,13151.942,10,4,1,Saturday
SE,SUDESTE,2025-01-04 10:00:00,43258.804,10,4,1,Saturday
N,NORTE,2025-01-04 11:00:00,7170.19999999,11,4,1,Saturday
NE,NORDESTE,2025-01-04 11:00:00,12642.74699999,11,4,1,Saturday
S,SUL,2025-01-04 11:00:00,13593.017,11,4,1,Saturday
SE,SUDESTE,2025-01-04 11:00:00,43404.95199999,11,4,1,Saturday
N,NORTE,2025-01-04 12:00:00,7300.26999999,12,4,1,Saturday
NE,NORDESTE,2025-01-04 12:00:00,12575.928,12,4,1,Saturday
S,SUL,2025-01-04 12:00:00,13347.091,12,4,1,Saturday
SE,SUDESTE,2025-01-04 12:00:00,43125.51299999,12,4,1,Saturday
N,NORTE,2025-01-04 13:00:00,7452.819,13,4,1,Saturday
NE,NORDESTE,2025-01-04 13:00:00,12569.139,13,4,1,Saturday
S,SUL,2025-01-04 13:00:00,13123.694,13,4,1,Saturday
SE,SUDESTE,2025-01-04 13:00:00,43806.25099999,13,4,1,Saturday
N,NORTE,2025-01-04 14:00:00,7451.554,14,4,1,Saturday
NE,NORDESTE,2025-01-04 14:00:00,12668.17999999,14,4,1,Saturday
S,SUL,2025-01-04 14:00:00,12853.722,14,4,1,Saturday
SE,SUDESTE,2025-01-04 14:00:00,44352.353,14,4,1,Saturday
N,NORTE,2025-01-04 15:00:00,7439.92199999,15,4,1,Saturday
NE,NORDESTE,2025-01-04 15:00:00,12880.12199999,15,4,1,Saturday
S,SUL,2025-01-04 15:00:00,12553.05599999,15,4,1,Saturday
SE,SUDESTE,2025-01-04 15:00:00,43981.713,15,4,1,Saturday
N,NORTE,2025-01-04 16:00:00,7273.623,16,4,1,Saturday
NE,NORDESTE,2025-01-04 16:00:00,13336.832,16,4,1,Saturday
S,SUL,2025-01-04 16:00:00,12693.714,16,4,1,Saturday
SE,SUDESTE,2025-01-04 16:00:00,43935.879,16,4,1,Saturday
N,NORTE,2025-01-04 17:00:00,7106.77,17,4,1,Saturday
NE,NORDESTE,2025-01-04 17:00:00,13869.783,17,4,1,Saturday
S,SUL,2025-01-04 17:00:00,13374.225,17,4,1,Saturday
SE,SUDESTE,2025-01-04 17:00:00,44584.326,17,4,1,Saturday
N,NORTE,2025-01-04 18:00:00,7337.81599999,18,4,1,Saturday
NE,NORDESTE,2025-01-04 18:00:00,14963.907,18,4,1,Saturday
S,SUL,2025-01-04 18:00:00,14065.18599999,18,4,1,Saturday
SE,SUDESTE,2025-01-04 18:00:00,46168.362,18,4,1,Saturday
N,NORTE,2025-01-04 19:00:00,7552.811,19,4,1,Saturday
